temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
10,5,2.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,5,3.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,5,5.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,8,0.5,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,8,1.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,8,2.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,8,3.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,8,5.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
8,10,2.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,10,3.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,10,5.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,15,2.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,15,3.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,15,5.0,7,7,1.0,0.994062571363325,0.6129032258064516,0.95,0.7450980392156863,0.0055312283936390875,76,48,4,8630,19,0.745945945945946,0.8625,0.004148421295229315
8,8,2.0,6,7,0.8571428571428571,0.994062571363325,0.6147540983606558,0.9375,0.7425742574257426,0.005415994468771606,75,47,5,8631,17,0.745945945945946,0.8625,0.004148421295229315
8,8,3.0,6,7,0.8571428571428571,0.994062571363325,0.6147540983606558,0.9375,0.7425742574257426,0.005415994468771606,75,47,5,8631,17,0.745945945945946,0.8625,0.004148421295229315
8,8,5.0,6,7,0.8571428571428571,0.994062571363325,0.6147540983606558,0.9375,0.7425742574257426,0.005415994468771606,75,47,5,8631,17,0.745945945945946,0.8625,0.004148421295229315
8,2,2.0,3,7,0.42857142857142855,0.9942909340031971,0.631578947368421,0.9,0.7422680412371134,0.004839824844434202,72,42,8,8636,9,0.745945945945946,0.8625,0.004148421295229315
8,2,3.0,3,7,0.42857142857142855,0.9942909340031971,0.631578947368421,0.9,0.7422680412371134,0.004839824844434202,72,42,8,8636,9,0.745945945945946,0.8625,0.004148421295229315
8,2,5.0,3,7,0.42857142857142855,0.9942909340031971,0.631578947368421,0.9,0.7422680412371134,0.004839824844434202,72,42,8,8636,9,0.745945945945946,0.8625,0.004148421295229315
10,10,0.5,3,7,0.42857142857142855,0.9942909340031971,0.631578947368421,0.9,0.7422680412371134,0.004839824844434202,72,42,8,8636,9,0.745945945945946,0.8625,0.004148421295229315
10,15,0.5,3,7,0.42857142857142855,0.9942909340031971,0.631578947368421,0.9,0.7422680412371134,0.004839824844434202,72,42,8,8636,9,0.745945945945946,0.8625,0.004148421295229315
9,5,1.0,4,7,0.5714285714285714,0.994176752683261,0.6239316239316239,0.9125,0.7411167512690355,0.005070292694169164,73,44,7,8634,12,0.745945945945946,0.8625,0.004148421295229315
10,2,0.5,1,7,0.14285714285714285,0.9944051153231331,0.6422018348623854,0.875,0.7407407407407407,0.0044941230698317585,70,39,10,8639,4,0.745945945945946,0.8625,0.004148421295229315
10,2,1.0,1,7,0.14285714285714285,0.9944051153231331,0.6422018348623854,0.875,0.7407407407407407,0.0044941230698317585,70,39,10,8639,4,0.745945945945946,0.8625,0.004148421295229315
10,2,2.0,1,7,0.14285714285714285,0.9944051153231331,0.6422018348623854,0.875,0.7407407407407407,0.0044941230698317585,70,39,10,8639,4,0.745945945945946,0.8625,0.004148421295229315
